Date,SiteName,LocationName,WeekDay,Year,Month,NorthboundCount,SouthboundCount,TotalCount
07/11/2024 10:00,York,Blake Street,Thursday,2024,November,512,779,1291
07/11/2024 10:00,York,Goodramgate,Thursday,2024,November,436,537,973
07/11/2024 10:00,York,Davygate,Thursday,2024,November,662,646,1308
07/11/2024 11:00,York,Blake Street,Thursday,2024,November,758,870,1628
07/11/2024 11:00,York,Goodramgate,Thursday,2024,November,606,738,1344
07/11/2024 11:00,York,Davygate,Thursday,2024,November,877,921,1798
07/11/2024 12:00,York,Blake Street,Thursday,2024,November,901,1028,1929
07/11/2024 12:00,York,Goodramgate,Thursday,2024,November,826,973,1799
07/11/2024 12:00,York,Davygate,Thursday,2024,November,1175,1145,2320
07/11/2024 13:00,York,Blake Street,Thursday,2024,November,1122,1012,2134
07/11/2024 13:00,York,Goodramgate,Thursday,2024,November,809,964,1773
07/11/2024 13:00,York,Davygate,Thursday,2024,November,1242,1173,2415
07/11/2024 14:00,York,Blake Street,Thursday,2024,November,865,810,1675
07/11/2024 14:00,York,Goodramgate,Thursday,2024,November,795,836,1631
07/11/2024 14:00,York,Davygate,Thursday,2024,November,1079,1091,2170
07/11/2024 15:00,York,Blake Street,Thursday,2024,November,885,736,1621
07/11/2024 15:00,York,Goodramgate,Thursday,2024,November,709,733,1442
07/11/2024 15:00,York,Davygate,Thursday,2024,November,1077,1079,2156
07/11/2024 16:00,York,Blake Street,Thursday,2024,November,766,763,1529
07/11/2024 16:00,York,Goodramgate,Thursday,2024,November,620,610,1230
07/11/2024 16:00,York,Davygate,Thursday,2024,November,1073,791,1864
07/11/2024 17:00,York,Blake Street,Thursday,2024,November,745,609,1354
07/11/2024 17:00,York,Goodramgate,Thursday,2024,November,483,441,924
07/11/2024 17:00,York,Davygate,Thursday,2024,November,825,577,1402
07/11/2024 18:00,York,Blake Street,Thursday,2024,November,767,506,1273
07/11/2024 18:00,York,Goodramgate,Thursday,2024,November,307,407,714
07/11/2024 18:00,York,Davygate,Thursday,2024,November,597,401,998
07/11/2024 19:00,York,Blake Street,Thursday,2024,November,417,337,754
07/11/2024 19:00,York,Goodramgate,Thursday,2024,November,222,241,463
07/11/2024 19:00,York,Davygate,Thursday,2024,November,382,314,696
07/11/2024 20:00,York,Blake Street,Thursday,2024,November,243,271,514
07/11/2024 20:00,York,Goodramgate,Thursday,2024,November,270,211,481
07/11/2024 20:00,York,Davygate,Thursday,2024,November,294,258,552
07/11/2024 21:00,York,Blake Street,Thursday,2024,November,259,224,483
07/11/2024 21:00,York,Goodramgate,Thursday,2024,November,228,146,374
07/11/2024 21:00,York,Davygate,Thursday,2024,November,224,276,500
08/11/2024 10:00,York,Blake Street,Friday,2024,November,636,623,1259
08/11/2024 10:00,York,Goodramgate,Friday,2024,November,493,525,1018
08/11/2024 10:00,York,Davygate,Friday,2024,November,443,616,1059
08/11/2024 11:00,York,Blake Street,Friday,2024,November,744,1023,1767
08/11/2024 11:00,York,Goodramgate,Friday,2024,November,664,669,1333
08/11/2024 11:00,York,Davygate,Friday,2024,November,703,680,1383
08/11/2024 12:00,York,Blake Street,Friday,2024,November,1013,1035,2048
08/11/2024 12:00,York,Goodramgate,Friday,2024,November,824,836,1660
08/11/2024 12:00,York,Davygate,Friday,2024,November,890,929,1819
08/11/2024 13:00,York,Blake Street,Friday,2024,November,1142,1088,2230
08/11/2024 13:00,York,Goodramgate,Friday,2024,November,836,1065,1901
08/11/2024 13:00,York,Davygate,Friday,2024,November,1245,1231,2476
08/11/2024 14:00,York,Blake Street,Friday,2024,November,996,913,1909
08/11/2024 14:00,York,Goodramgate,Friday,2024,November,730,853,1583
08/11/2024 14:00,York,Davygate,Friday,2024,November,1015,1254,2269
08/11/2024 15:00,York,Blake Street,Friday,2024,November,952,887,1839
08/11/2024 15:00,York,Goodramgate,Friday,2024,November,875,785,1660
08/11/2024 15:00,York,Davygate,Friday,2024,November,1148,1324,2472
08/11/2024 16:00,York,Blake Street,Friday,2024,November,942,782,1724
08/11/2024 16:00,York,Goodramgate,Friday,2024,November,727,757,1484
08/11/2024 16:00,York,Davygate,Friday,2024,November,1050,970,2020
08/11/2024 17:00,York,Blake Street,Friday,2024,November,836,703,1539
08/11/2024 17:00,York,Goodramgate,Friday,2024,November,523,562,1085
08/11/2024 17:00,York,Davygate,Friday,2024,November,1040,473,1513
08/11/2024 18:00,York,Blake Street,Friday,2024,November,637,355,992
08/11/2024 18:00,York,Goodramgate,Friday,2024,November,397,222,619
08/11/2024 18:00,York,Davygate,Friday,2024,November,931,350,1281
08/11/2024 19:00,York,Blake Street,Friday,2024,November,329,240,569
08/11/2024 19:00,York,Goodramgate,Friday,2024,November,240,302,542
08/11/2024 19:00,York,Davygate,Friday,2024,November,459,240,699
08/11/2024 20:00,York,Blake Street,Friday,2024,November,251,217,468
08/11/2024 20:00,York,Goodramgate,Friday,2024,November,192,212,404
08/11/2024 20:00,York,Davygate,Friday,2024,November,310,208,518
08/11/2024 21:00,York,Blake Street,Friday,2024,November,175,144,319
08/11/2024 21:00,York,Goodramgate,Friday,2024,November,224,181,405
08/11/2024 21:00,York,Davygate,Friday,2024,November,243,287,530
09/11/2024 10:00,York,Blake Street,Saturday,2024,November,753,1077,1830
09/11/2024 10:00,York,Goodramgate,Saturday,2024,November,582,661,1243
09/11/2024 10:00,York,Davygate,Saturday,2024,November,899,1179,2078
09/11/2024 11:00,York,Blake Street,Saturday,2024,November,1086,1406,2492
09/11/2024 11:00,York,Goodramgate,Saturday,2024,November,1175,981,2156
09/11/2024 11:00,York,Davygate,Saturday,2024,November,1221,1910,3131
09/11/2024 12:00,York,Blake Street,Saturday,2024,November,1541,1646,3187
09/11/2024 12:00,York,Goodramgate,Saturday,2024,November,1370,1424,2794
09/11/2024 12:00,York,Davygate,Saturday,2024,November,1998,2593,4591
09/11/2024 13:00,York,Blake Street,Saturday,2024,November,1872,1906,3778
09/11/2024 13:00,York,Goodramgate,Saturday,2024,November,1427,1557,2984
09/11/2024 13:00,York,Davygate,Saturday,2024,November,2602,3454,6056
09/11/2024 14:00,York,Blake Street,Saturday,2024,November,1975,1843,3818
09/11/2024 14:00,York,Goodramgate,Saturday,2024,November,1570,1705,3275
09/11/2024 14:00,York,Davygate,Saturday,2024,November,2486,3459,5945
09/11/2024 15:00,York,Blake Street,Saturday,2024,November,1692,1646,3338
09/11/2024 15:00,York,Goodramgate,Saturday,2024,November,1438,1711,3149
09/11/2024 15:00,York,Davygate,Saturday,2024,November,2280,3360,5640
09/11/2024 16:00,York,Blake Street,Saturday,2024,November,1515,1192,2707
09/11/2024 16:00,York,Goodramgate,Saturday,2024,November,1192,1279,2471
09/11/2024 16:00,York,Davygate,Saturday,2024,November,2004,2594,4598
09/11/2024 17:00,York,Blake Street,Saturday,2024,November,1403,1098,2501
09/11/2024 17:00,York,Goodramgate,Saturday,2024,November,1403,1280,2683
09/11/2024 17:00,York,Davygate,Saturday,2024,November,1544,2056,3600
09/11/2024 18:00,York,Blake Street,Saturday,2024,November,823,570,1393
09/11/2024 18:00,York,Goodramgate,Saturday,2024,November,624,898,1522
09/11/2024 18:00,York,Davygate,Saturday,2024,November,1283,1584,2867
09/11/2024 19:00,York,Blake Street,Saturday,2024,November,663,632,1295
09/11/2024 19:00,York,Goodramgate,Saturday,2024,November,395,666,1061
09/11/2024 19:00,York,Davygate,Saturday,2024,November,180,1151,1331
09/11/2024 20:00,York,Blake Street,Saturday,2024,November,608,511,1119
09/11/2024 20:00,York,Goodramgate,Saturday,2024,November,318,109,427
09/11/2024 20:00,York,Davygate,Saturday,2024,November,661,919,1580
09/11/2024 21:00,York,Blake Street,Saturday,2024,November,389,502,891
09/11/2024 21:00,York,Goodramgate,Saturday,2024,November,343,488,831
09/11/2024 21:00,York,Davygate,Saturday,2024,November,379,736,1115
10/11/2024 10:00,York,Blake Street,Sunday,2024,November,988,732,1720
10/11/2024 10:00,York,Goodramgate,Sunday,2024,November,410,593,1003
10/11/2024 10:00,York,Davygate,Sunday,2024,November,464,1096,1560
10/11/2024 11:00,York,Blake Street,Sunday,2024,November,941,1123,2064
10/11/2024 11:00,York,Goodramgate,Sunday,2024,November,799,1020,1819
10/11/2024 11:00,York,Davygate,Sunday,2024,November,1158,1280,2438
10/11/2024 12:00,York,Blake Street,Sunday,2024,November,1439,874,2313
10/11/2024 12:00,York,Goodramgate,Sunday,2024,November,1127,1379,2506
10/11/2024 12:00,York,Davygate,Sunday,2024,November,1611,1394,3005
10/11/2024 13:00,York,Blake Street,Sunday,2024,November,1244,1097,2341
10/11/2024 13:00,York,Goodramgate,Sunday,2024,November,1131,1394,2525
10/11/2024 13:00,York,Davygate,Sunday,2024,November,915,1666,2581
10/11/2024 14:00,York,Blake Street,Sunday,2024,November,1309,1024,2333
